epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7164,2.24438,3.88174,1.55764,0.01208,0.65909,0.01522,0.00731,1.5367,3.65778,1.10583,0.00012,0.00012,0.00012
2,43.0007,1.7521,2.66915,1.14723,0.0175,0.95455,0.07726,0.02198,1.28743,3.27521,0.96836,0.000254852,0.000254852,0.000254852
3,62.8571,1.50681,1.73355,1.04675,0.01667,0.90909,0.05387,0.03035,1.19786,3.11627,0.94931,0.00038416,0.00038416,0.00038416
4,82.7327,1.48617,1.42424,1.04273,0.01625,0.88636,0.05893,0.02789,1.23352,3.13563,0.97775,0.000507924,0.000507924,0.000507924
5,102.391,1.36949,1.26066,1.02644,0.015,0.81818,0.05961,0.03284,1.24748,3.21094,1.00165,0.000626144,0.000626144,0.000626144
6,122.251,1.3267,1.23913,1.02522,0.01667,0.90909,0.15743,0.10503,1.26127,3.04335,0.97668,0.00073882,0.00073882,0.00073882
7,143.255,1.27081,1.13434,0.99162,0.01625,0.88636,0.02431,0.01236,1.27871,3.23407,1.07423,0.000845952,0.000845952,0.000845952
8,164.366,1.27269,1.10818,1.01645,0.02189,0.70455,0.13222,0.09262,1.19495,3.11022,1.02451,0.00094754,0.00094754,0.00094754
9,184.425,1.33905,1.15695,1.01407,1,0.08224,0.39576,0.2162,1.37237,2.9671,1.06577,0.00104358,0.00104358,0.00104358
10,204.665,1.38366,1.10348,1.01525,1,0.35436,0.86583,0.49877,1.26861,2.389,0.98979,0.00113408,0.00113408,0.00113408
11,224.097,1.29424,1.02469,1.01498,0.9748,0.45455,0.9254,0.52001,1.21449,2.2461,0.95862,0.00121904,0.00121904,0.00121904
12,243.162,1.24073,0.99192,0.99556,0.73001,0.18456,0.65124,0.30954,1.4367,2.75307,1.07517,0.00129845,0.00129845,0.00129845
13,262.37,1.31672,0.97822,1.00069,0.89406,0.38375,0.67762,0.40065,1.2936,2.62631,1.03616,0.00137232,0.00137232,0.00137232
14,281.688,1.2794,0.98873,1.0168,0.82214,0.72727,0.91477,0.60961,1.12273,1.61539,0.93017,0.00144064,0.00144064,0.00144064
15,302.586,1.30307,0.90861,0.99832,0.78054,0.86364,0.88404,0.57069,1.1921,1.38712,0.95153,0.0014456,0.0014456,0.0014456
16,322.132,1.28417,0.92238,0.97844,0.78566,0.91645,0.90539,0.61788,1.07804,1.26616,0.93598,0.001406,0.001406,0.001406
17,341.059,1.2366,0.91371,0.98766,0.91573,0.88636,0.94666,0.65003,1.05997,1.11748,0.93006,0.0013664,0.0013664,0.0013664
18,360.162,1.18147,0.88043,0.96514,0.87762,0.90909,0.94729,0.64558,1.0186,1.27863,0.90305,0.0013268,0.0013268,0.0013268
19,379.518,1.18434,0.89006,0.9827,0.85124,0.65909,0.85251,0.59802,0.95962,1.61655,0.88509,0.0012872,0.0012872,0.0012872
20,399.232,1.20668,0.87765,0.96584,0.8522,0.7864,0.89644,0.60978,1.08825,1.2459,0.92886,0.0012476,0.0012476,0.0012476
21,418.261,1.18951,0.86328,0.96148,0.85489,0.80348,0.92073,0.59914,1.08419,1.22597,0.9359,0.001208,0.001208,0.001208
22,437.809,1.13186,0.80508,0.93976,0.85054,0.95455,0.93601,0.65756,1.0155,1.12877,0.91423,0.0011684,0.0011684,0.0011684
23,456.761,1.13439,0.79464,0.94316,0.93251,0.95455,0.96072,0.68295,0.95261,0.9203,0.88854,0.0011288,0.0011288,0.0011288
24,475.641,1.05593,0.79166,0.93604,0.90584,0.97727,0.97518,0.70416,0.93552,0.82806,0.88043,0.0010892,0.0010892,0.0010892
25,494.598,1.08412,0.78172,0.93686,0.91718,0.97727,0.98083,0.68121,0.96553,0.84511,0.88619,0.0010496,0.0010496,0.0010496
26,513.569,1.15673,0.78533,0.945,0.89167,0.97727,0.96944,0.65506,1.08177,0.96521,0.92116,0.00101,0.00101,0.00101
27,532.6,1.08551,0.78065,0.94451,0.87065,0.97727,0.9567,0.69006,0.90171,0.92346,0.88059,0.0009704,0.0009704,0.0009704
28,551.711,1.13664,0.75313,0.94093,0.95198,0.90127,0.944,0.69841,0.84248,0.78656,0.87711,0.0009308,0.0009308,0.0009308
29,570.652,1.05277,0.74038,0.93396,0.90128,0.95455,0.94843,0.69681,0.86332,0.78571,0.88942,0.0008912,0.0008912,0.0008912
30,589.554,1.06637,0.75566,0.93539,0.91573,0.93182,0.95349,0.69354,0.91241,0.77678,0.90025,0.0008516,0.0008516,0.0008516
31,608.432,1.01537,0.72522,0.9378,0.91217,0.94424,0.96769,0.71276,0.96865,0.72096,0.91331,0.000812,0.000812,0.000812
32,627.335,1.01358,0.68244,0.91329,0.91406,0.97727,0.98272,0.68511,0.98846,0.72367,0.91406,0.0007724,0.0007724,0.0007724
33,646.405,1.01906,0.66982,0.90061,0.92997,0.95455,0.9811,0.72845,0.91912,0.70276,0.88989,0.0007328,0.0007328,0.0007328
34,665.441,1.00603,0.68751,0.92419,0.95412,0.90909,0.98356,0.73469,0.89152,0.70377,0.8793,0.0006932,0.0006932,0.0006932
35,684.274,0.99467,0.68867,0.90852,0.9491,0.97727,0.99074,0.74369,0.86871,0.69153,0.87111,0.0006536,0.0006536,0.0006536
36,703.261,0.95304,0.69437,0.89576,0.93501,0.97727,0.98656,0.73149,0.86192,0.70579,0.87863,0.000614,0.000614,0.000614
37,722.858,0.97125,0.6786,0.9098,0.94115,0.97727,0.98582,0.72328,0.85983,0.69201,0.88051,0.0005744,0.0005744,0.0005744
38,741.851,0.9666,0.65527,0.9074,0.93447,0.97241,0.98366,0.71672,0.89611,0.70039,0.88227,0.0005348,0.0005348,0.0005348
39,760.849,0.9622,0.64791,0.90315,0.85625,0.94769,0.9673,0.72894,0.84349,0.72841,0.87696,0.0004952,0.0004952,0.0004952
40,779.85,0.96806,0.65871,0.89589,0.90937,0.90909,0.96408,0.70382,0.88976,0.72627,0.89023,0.0004556,0.0004556,0.0004556
41,798.311,0.92755,0.65156,0.88301,0.87867,1,0.97635,0.71711,0.90607,0.69821,0.88643,0.000416,0.000416,0.000416
42,816.799,0.9676,0.65328,0.8871,0.91467,1,0.98876,0.69152,1.02717,0.69541,0.90799,0.0003764,0.0003764,0.0003764
43,835.295,0.94023,0.6366,0.89205,0.92599,1,0.98716,0.6982,1.00194,0.67722,0.90086,0.0003368,0.0003368,0.0003368
44,853.784,0.90573,0.62586,0.88304,0.94223,1,0.97895,0.71759,0.92131,0.65878,0.88585,0.0002972,0.0002972,0.0002972
45,872.185,0.90085,0.61889,0.88796,0.93491,1,0.97669,0.72938,0.89443,0.65462,0.88128,0.0002576,0.0002576,0.0002576
46,890.675,0.90707,0.60595,0.8931,0.94975,1,0.97624,0.72016,0.89735,0.67025,0.88669,0.000218,0.000218,0.000218
47,909.119,0.84791,0.59158,0.88463,0.9492,1,0.97701,0.72756,0.88775,0.66605,0.88102,0.0001784,0.0001784,0.0001784
48,927.586,0.8547,0.58552,0.88013,0.94433,1,0.97739,0.7387,0.84741,0.65455,0.8718,0.0001388,0.0001388,0.0001388
49,946.088,0.8748,0.60557,0.88397,0.95412,1,0.97993,0.7464,0.83605,0.65018,0.87304,9.92e-05,9.92e-05,9.92e-05
50,964.608,0.81427,0.58188,0.87599,0.9419,0.97727,0.98083,0.73678,0.84602,0.64994,0.8797,5.96e-05,5.96e-05,5.96e-05
