epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.6739,1.9717,3.92932,1.48354,0.00287,0.5,0.01567,0.00709,1.30802,4.10339,1.25771,1.667e-05,1.667e-05,1.667e-05
2,7.30079,1.72117,3.76184,1.41708,0.00292,0.5,0.02943,0.01216,1.14753,4.04575,1.13437,4.90198e-05,4.90198e-05,4.90198e-05
3,10.7071,1.36149,3.62942,1.29177,0.00299,0.5,0.12562,0.08778,1.02783,3.9426,0.95475,8.00493e-05,8.00493e-05,8.00493e-05
4,14.0902,1.24583,3.54439,1.1746,0.00301,0.5,0.24932,0.19946,1.15025,3.82239,0.8947,0.000109759,0.000109759,0.000109759
5,17.4625,1.17291,3.35949,1.06994,0.0067,0.57143,0.34955,0.09352,1.32268,3.76163,0.9371,0.000138148,0.000138148,0.000138148
6,20.8576,1.43209,3.05229,1.31557,0.00334,0.5,0.3725,0.05822,1.41964,3.7432,0.95356,0.000165216,0.000165216,0.000165216
7,24.2315,1.08551,2.54683,1.02352,0.00173,0.25,0.0013,0.00091,1.53527,3.73722,1.01232,0.000190965,0.000190965,0.000190965
8,27.9517,1.12548,2.04983,0.98168,0.00826,0.60714,0.05419,0.01148,1.49485,3.59981,0.98417,0.000215393,0.000215393,0.000215393
9,31.6322,1.11666,1.40154,0.96864,0.00962,0.42857,0.25328,0.06819,1.46068,3.4768,0.95982,0.000238501,0.000238501,0.000238501
10,35.0303,1.24515,1.82819,1.1354,0.01989,0.67857,0.43581,0.28115,1.39771,3.33124,0.93689,0.000260289,0.000260289,0.000260289
11,38.4446,1.24092,1.22757,1.00469,0.0179,0.64286,0.52178,0.36887,1.31058,3.17362,0.90259,0.000280756,0.000280756,0.000280756
12,42.0407,1.03504,1.07363,1.0542,0.01775,0.64286,0.57096,0.40141,1.32023,3.04239,0.91173,0.000299903,0.000299903,0.000299903
13,45.4597,1.07524,1.85254,1.01705,0.01821,0.85714,0.7502,0.2913,1.31892,2.9939,0.92623,0.00031773,0.00031773,0.00031773
14,48.8582,1.01721,1.15854,0.9403,0.01713,0.82143,0.74936,0.2964,1.34994,2.99952,0.9465,0.000334237,0.000334237,0.000334237
15,52.3973,0.91191,1.00351,0.91962,0.01431,0.75,0.7477,0.32595,1.29577,3.07229,0.93817,0.000349423,0.000349423,0.000349423
16,55.7189,0.97993,0.97702,0.95749,0.01439,0.75,0.74774,0.35599,1.27253,3.13675,0.92764,0.000363289,0.000363289,0.000363289
17,59.1655,0.97135,0.9103,0.94182,0.01462,0.75,0.74341,0.35465,1.26051,3.15229,0.94038,0.000375835,0.000375835,0.000375835
