epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0552,1.71868,3.81091,1.42351,0.00296,0.5,0.03176,0.01704,1.17901,4.03732,1.14573,5.001e-05,5.001e-05,5.001e-05
2,21.6815,1.53482,3.58913,1.31195,0.00302,0.5,0.274,0.20161,1.13349,3.92615,0.92639,0.000115535,0.000115535,0.000115535
3,31.2416,1.53884,3.36153,1.20503,0.00347,0.5,0.28564,0.09992,1.30065,3.80094,0.93444,0.000179739,0.000179739,0.000179739
4,40.7908,1.39279,2.21595,1.08739,0.01188,0.61429,0.38565,0.17276,1.33478,3.43534,0.89641,0.000242624,0.000242624,0.000242624
5,50.6077,1.28465,1.49132,1.0168,0.0197,0.9,0.6407,0.34192,1.45398,3.11696,0.93227,0.000304187,0.000304187,0.000304187
6,60.6667,1.23803,1.26069,1.00664,0.01732,0.84286,0.62147,0.30993,1.44595,3.06572,0.96323,0.000364431,0.000364431,0.000364431
7,70.3121,1.16883,1.1798,0.95676,0.01576,0.8,0.60798,0.29685,1.28797,3.05604,0.9051,0.000423355,0.000423355,0.000423355
8,79.6853,1.24177,1.19202,1.038,1,0.44345,0.72652,0.36586,1.17863,3.05063,0.89605,0.000480958,0.000480958,0.000480958
9,89.0136,1.18348,1.1018,1.04431,1,0.1869,0.69139,0.35716,1.17527,3.0062,0.92011,0.000537241,0.000537241,0.000537241
10,98.5223,1.1646,1.03239,0.99224,0.01422,0.75714,0.71337,0.38391,1.24402,2.9755,0.94526,0.000592203,0.000592203,0.000592203
11,108.555,1.18953,1.09053,0.98643,0.01299,0.72857,0.70886,0.39619,0.96148,2.99292,0.84309,0.000645846,0.000645846,0.000645846
12,118.655,1.06378,1.04542,1.02434,1,0.47824,0.66599,0.34991,1.22119,3.033,0.90597,0.000698168,0.000698168,0.000698168
13,129.78,1.09828,0.96999,0.98862,1,0.38327,0.59777,0.1825,1.23297,3.11915,0.94343,0.00074917,0.00074917,0.00074917
14,140.169,1.06039,0.99995,1.01319,1,0.38191,0.62465,0.21189,1.08423,3.0428,0.87908,0.000798851,0.000798851,0.000798851
15,150.472,0.98876,0.89298,0.9716,0.86886,0.5,0.81203,0.43267,1.08704,2.75415,0.85596,0.000847213,0.000847213,0.000847213
16,160.826,1.0255,0.9341,1.03374,0.9641,0.5,0.73317,0.44319,1.12851,2.7165,0.88777,0.000894254,0.000894254,0.000894254
17,170.127,0.98311,0.85493,0.97608,0.98626,0.5,0.70451,0.43191,1.29026,2.83082,0.97934,0.000939975,0.000939975,0.000939975
18,179.243,1.12029,0.95638,0.98998,0.99357,0.5,0.58744,0.29093,1.27831,3.09357,0.93123,0.000984375,0.000984375,0.000984375
19,188.602,1.03837,0.87832,0.97742,0.99861,0.5,0.67499,0.28221,1.40498,2.84534,0.98608,0.00102746,0.00102746,0.00102746
20,197.974,0.94084,0.8237,0.93064,1,0.48963,0.77329,0.28984,1.38115,2.59053,1.00519,0.00106922,0.00106922,0.00106922
21,207.369,0.98633,0.90804,0.99253,0.91895,0.5457,0.91967,0.41559,1.2703,2.23255,0.95525,0.00110966,0.00110966,0.00110966
22,216.74,1.01294,0.8259,0.96367,0.98859,0.5,0.93163,0.42105,1.3087,2.39245,0.96126,0.00114877,0.00114877,0.00114877
